Name,Description,Role,Type,Format
videos,Das ist die youtibe-ID jeden Videos. ,ID,Nominal,object
videotitel,Das ist der Titel des Videos,Prädikator,Kategorial ,object
veröffentlichungszeitpunkt_des_videos,Wann wurde das Video veröffentlicht,Prädikator,Numerisch,object
klicks_auf_abspannelement,Wie oft wurde auf ein Abspannelement geklickt,Prädikator,Numerisch,int64
klicks_auf_infokartenteaser,Wie oft wurde auf ein Infokartenteaser geklickt,Prädiaktor,Numerisch,int64
klicks_auf_infokarte,Wie oft wurde auf ein Infokarte geklickt,Prädikator,numerisch,int64
geteilte_inhalte,Wie oft wurde Geteilte Inhalte,Prädiaktor,Numerisch,int64
kommentare_hinzugefügt,Die Anzahl der Kommentare zu deinem Video oder auf deinem Kanal. Dieser Wert kann sowohl gelöschte Kommentare als auch Livechats enthalten.,Prädiaktor,Numerisch,int64
mag_ich_und_mag_ich_nicht_im_vergleich_(%),"Der prozentuale Anteil der ""Mag ich""-Bewertungen an der Gesamtzahl aller Bewertungen, die dieses Video erhalten hat. Mit diesem Messwert kannst du die Arten von Inhalten ermitteln, die am besten bei deinen Zuschauern ankommen.",Prädikator,Numerisch,float64
mag_ich_nicht-bewertungen,"Die Änderung der Gesamtzahl negativer Bewertungen, die sich aus der Differenz zwischen hinzugefügten und entfernten Bewertungen für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter ergibt. Vor dem 1. September 2012 wurden die entfernten Bewertungen nicht subtrahiert.",Prädikator,Numerisch,int64
likes,"Die Änderung der Gesamtzahl positiver Bewertungen, die sich aus der Differenz zwischen hinzugefügten und entfernten Bewertungen für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter ergibt.",Antwort,Numerisch,int64
verlorene_abonnenten,So oft haben Nutzer das Abo dieses Kanals während des ausgewählten Zeitraums und in der ausgewählten Region gekündigt,Prädikator,Numerisch,int64
gewonnene_abonnenten,So oft haben Nutzer diesen Kanal innerhalb des ausgewählten Zeitraums und in der ausgewählten Region abonniert,Prädikator,Numerisch,int64
durchschnittliche_wiedergabedauer_in_prozent_(%),Durchschnittliche Wiedergabe eines Videos pro Aufruf (in %),Prädikator,Numerisch,int64
im_feed_angezeigt,Wie häufig Inhalte im Shorts-Feed angezeigt wurden,Prädikator,Numerisch,int64
aufrufe,"Gesamtzahl der Aufrufe für den ausgewählten Zeitraum, die ausgewählte Region und andere Filter.",Antwort,Numerisch,int64
wiedergabezeit_(stunden),Die geschätzte Gesamtwiedergabezeit deiner Videos (in Stunden).,Antwort,Numerisch,int64
geschätzter_umsatz_(eur),Geschätzter Umsatz. Der Endbetrag kann sich am Ende des Monats ändern.,Antwort,Numerisch,float64
durchschnittliche_wiedergabedauer,Die geschätzte Gesamtwiedergabezeit deiner Videos (in Stunden).,Antwort,Numerisch,object
impressionen,"Wie oft die Thumbnails deines Videos Zuschauern gezeigt wurden. Dies beinhaltet nur Impressionen auf YouTube, nicht auf externen Websites oder Apps.",Prädikator,Numerisch,int64
klickrate_der_impressionen_(%),"Aufrufe pro angezeigte Impressionen. Dieser Wert gibt an, wie oft Zuschauer sich nach der Anzeige einer Impression ein Video angesehen haben. Du kannst einfach herausfinden, wie hoch deine Klickrate bei Impressionen ist.",Antwort,Numerisch,int64
länge_des_videos_(sek),No description available,Unknown,Unknown,float64
thema,Welches Thema hat das video (Kategorien),Prädikator,Kategorial ,float64
bewertung_titel,SEO Bewertung des Titel von 1 bis 10,Prädikator,Kategorial ,float64
gestaltung_thumbnail,Thumbnail mit oder ohen Person im Vordergrund,Prädikator,Kategorial ,float64
